en,de,score
José Ortega y Gasset visited Husserl at Freiburg in 1934.,1934 besuchte José Ortega y Gasset Husserl in Freiburg.,1.1016968715664406
"However, a disappointing ninth in China meant that he dropped back to sixth in the standings.","Eine enttäuschende Neunte in China bedeutete jedoch, dass er in der Gesamtwertung auf den sechsten Platz zurückfiel.",-0.5166559017744532
"In his diary, Chase wrote that the release of Mason and Slidell ""…was like gall and wormwood to me.","In seinem Tagebuch, Chase schrieb, dass die Veröffentlichung von Mason und Slidell ""war wie Galle und Wermut für mich.",-2.226388273662612
Heavy arquebuses mounted on wagons were called arquebus à croc.,Schwere Arquebuses auf Waggons montiert wurden Arquebus à croc genannt.,-0.8273786055099359
"Once North Pacific salmon die off after spawning, usually local bald eagles eat salmon carcasses almost exclusively.","Sobald der nordpazifische Lachs nach dem Laichen abstirbt, fressen in der Regel lokale Glatzadler fast ausschließlich Lachskörper.",0.36469545654510754
"They engaged in crossfire at Guamaní River Bridge, Coamo and Silva Heights and finally at the Battle of Asomante.","Sie verübten Kreuzfeuer an der Guamaní River Bridge, Coamo und Silva Heights und schließlich an der Schlacht von Asomante.",-0.6885014973223939
"Several WHA teams courted Gretzky, notably the Indianapolis Racers and the Birmingham Bulls.","Mehrere WHA-Teams umworben Gretzky, insbesondere die Indianapolis Racers und die Birmingham Bulls.",0.3112706304152694
16 Penn State in which redshirt freshman Jim Kelly threw for 280 yards and three touchdowns in his first career start as Miami's quarterback.,"16 Penn State, in dem Rothemd-Neuling Jim Kelly warf 280 Meter und drei Touchdowns in seiner ersten Karriere starten als Miami Quartier zurück.",-0.4930572787274256
"On 12 April 1983, the Landmarks Preservation Commission designated the 69th Regiment Armory an official New York City landmark.",Am 12. April 1983 ernannte die Landmarks Preservation Commission das 69. Regiment Armory zu einem offiziellen Wahrzeichen von New York City.,0.018337205883268277
"After that, Chinese junks came to northern Borneo with cargoes of spices, bird nests, shark fins, camphor, rattan and pearls.","Danach kamen chinesische Junks mit Gewürzen, Vogelnestern, Haiflossen, Kampfer, Rattan und Perlen in den Norden von Borneo.",-0.6803026163227427
Sienna Miller portrays The Baroness as one of the primary antagonists of Stephen Sommers' 2009 film G.I.,Sienna Miller porträtiert The Baroness als einen der Hauptantagonisten des Films G.I. von Stephen Sommers 2009,-1.0959834914621096
"The Roundhead besiegers made an effort to raise a new fort on Wall's furlong, but after some fighting with the Cavaliers they failed.","Die Roundhead Belagerer bemühten sich, eine neue Festung auf Wall 's Furlong zu erheben, aber nach einigen Kämpfen mit den Cavaliers scheiterten sie.",0.4109878259409549
"When legendary wrestler Jake Roberts advised Orton not to underestimate The Undertaker, Orton performed an RKO on Roberts as well.","Als der legendäre Wrestler Jake Roberts Orton riet, The Undertaker nicht zu unterschätzen, führte Orton ebenfalls einen RKO auf Roberts durch.",-1.318712246407058
"Meanwhile, US garrisons in Japan continually dispatched soldiers and matériel to reinforce defenders in the Pusan Perimeter.","Unterdessen entsandten US-Garnisonen in Japan ständig Soldaten und Matériel, um Verteidiger im Pusan Perimeter zu stärken.",0.059583850594065124
"The cover depicted a photograph of The Huxtables with a cracked frame, symbolizing the show's damaged and complicated legacy.","Das Cover zeigt ein Foto von The Huxtable mit einem geknackten Rahmen, das das beschädigte und komplizierte Erbe der Serie symbolisiert.",-1.5138427878578486
The use of furrow widener or a longer mouldboard on the rear body will overcome the problem.,Die Verwendung von Furchenwischer oder ein längeres Mouldboard auf der Rückseite Körper wird das Problem zu überwinden.,-1.8380984917248988
Differences in dimensionalities of phonons and excitons cause upper level to transform into many states of phonon field.,"Unterschiede in der Dimensionalität von Phonen und Erregungen bewirken, dass sich die obere Ebene in viele Zustände des Phonon-Feldes verwandelt.",-0.5790323560254254
Their lustre tarnishes rapidly in air due to oxidation.,Durch Oxidation trübt ihr Glanz schnell in der Luft.,0.1364918686858592
"""Renaissance Humanism and the Future of the Humanities.""","""Renaissance Humanism and the Future of the Humanities"".",-5.337610996309654
"They bundled him into a field and ""tarred and feathered"" him.","Sie bündelten ihn in ein Feld und ""tarred und gefiedert"" ihn.",-1.3059225754062462
He ruled oppressively and nearly bankrupted Mali with his lavish spending.,Er regierte unterdrückerisch und fast bankrott Mali mit seinen verschwenderischen Ausgaben.,-0.6842452182504796
"As a final disastrous coda to the expedition, Thucydides mentions the fate of a squadron of fifty triremes sent to relieve the Siege of Prosopitis.","Als letzte katastrophale Coda zur Expedition erwähnt Thucydides das Schicksal einer Staffel von fünfzig Triremen, die zur Linderung der Belagerung der Prosopitis geschickt wurden.",-1.5168235245679842
"The HSBC also predicted that Vietnam's total GDP would surpass those of Norway, Singapore and Portugal by 2050.","Die HSBC prognostizierte auch, dass Vietnams gesamtes BIP das von Norwegen, Singapur und Portugal bis 2050 übertreffen würde.",0.7770590862414782
"The local streams and lakes held animals such as freshwater clams, fish, ostracods, and snails.","Die lokalen Bäche und Seen hielten Tiere wie Süßwassermuscheln, Fische, Ostracods und Schnecken.",-0.06178095704251956
"He criticised speculative philosophy, equating metaphysics with ideology.","Er kritisierte spekulative Philosophie, indem er Metaphysik mit Ideologie gleichsetzte.",0.5085815909260468
"Stepan dies, leaving the Malachite Casket to his widow Nastyona.",Stepan stirbt und überlässt das malachitische Schrein seiner Witwe Nastyona.,-0.17839197306420598
Jackson appointed six justices to the Supreme Court.,Jackson ernannte sechs Richter am Obersten Gerichtshof.,0.7180340343642123
"In doubles, Mirza reached her third Grand Slam semifinal, partnering Vesnina, where they fell to Svetlana Kuznetsova and Vera Zvonareva.","Im Doppel erreichte Mirza ihr drittes Halbfinale Grand Slam, in Partnerschaft mit Vesnina, wo sie Svetlana Kuznetsova und Vera Zvonareva fielen.",0.2884153364989973
The tornado briefly continued into Tennessee before dissipating.,"Der Tornado fuhr kurz nach Tennessee fort, bevor er sich abfuhr.",0.2481414290428143
Pujols provided levity when he then joined in the booing.,"Pujols sorgte für Leichtigkeit, als er dann in die Booing beitrat.",-2.0184204906823435
Plum Borough School District encompasses approximately 28 sqmi.,Plum Borough School District umfasst etwa 28 qm.,-1.6981549592716962
"On 25 February 1991, Iraqi forces fired a Scud missile at an American barracks in Dhahran, Saudi Arabia.","Am 25. Februar 1991 feuerten irakische Truppen eine Scud-Rakete auf eine amerikanische Kaserne in Dhahran, Saudi-Arabien.",0.2487112138644134
"The 1990s were plagued by armed conflicts in the North Caucasus, both local ethnic skirmishes and separatist Islamist insurrections.","Die 1990er Jahre wurden von bewaffneten Konflikten im Nordkaukasus heimgesucht, sowohl lokalen ethnischen Auseinandersetzungen als auch separatistischen islamistischen Aufständen.",0.6185373727289867
"Punjab faced invasions by the Achaemenids, Greeks, Scythians, Turks, and Afghans.","Punjab sah sich Invasionen der Achaemeniden, Griechen, Skythen, Türken und Afghanen gegenüber.",-0.39040691702027036
"On 17 January around 100 bombers dropped a high concentration of incendiaries, some 32,000 in all.","Am 17. Januar warfen rund 100 Bomber eine hohe Brandkonzentration ab, insgesamt etwa 32.000.",-1.4005356036812027
"3, April 1947 ""Zorro's Strange Duel"", West Magazine Vol.","3, April 1947 ""Zorro 's Strange Duel"", West Magazine Vol.",0.5415500782864453
The Army often provided some policing alongside poorly resourced sheriffs and temporarily organized posses.,Die Armee stellte oft neben schlecht ausgestatteten Sheriffs und vorübergehend organisierten Stellungen Polizeiarbeit bereit.,-0.11238659402967448
This marked the first international bandy in Harbin.,Dies war der erste internationale Verband in Harbin.,-2.6412574153574884
Sophomore Jacory Harris directed the newly implemented offense.,Sophomore Jacory Harris leitete die neu umgesetzte Straftat.,-2.4877239891624447
The burning propellant generates inert gas which rapidly inflates the airbag in approximately 20 to 30 milliseconds.,"Das brennende Treibmittel erzeugt inertes Gas, das den Airbag in etwa 20 bis 30 Millisekunden schnell aufblasen lässt.",-0.822426567835932
"After this, the Penguins discontinued the usage of their 2008 Winter Classic jerseys.",Danach haben die Pinguine die Nutzung ihrer Winter Classic Trikots 2008 eingestellt.,-0.16384966693756553
"Sara then flees; Alex later calls Sebastian, further attempting to incriminate Sara.","Sara flieht, Alex ruft Sebastian und versucht Sara weiter zu belasten.",-0.043437133681267115
"Paige pitched shutouts in his first two starts, striking out 14 and 18.",Paige schlug Shutouts in seinen ersten beiden Starts auf und schlug 14 und 18 aus.,0.4840589148646044
"The pebbles include quartz, quartzite, quartz sandstone, pale pink mudstone and chert, embedded in a matrix of sand.","Zu den Kieselsteinen gehören Quarz, Quarzit, Quarzsandstein, blassrosa Lehm und Chert, eingebettet in eine Sandmatrix.",-0.45076781272621425
However the continued harsh enserfment of peasantry by Polish nobility and especially the suppression of the Orthodox Church alienated the Cossacks.,Doch die anhaltende harte Knechtschaft der Bauern durch den polnischen Adel und vor allem die Unterdrückung der orthodoxen Kirche entfremdeten die Kosaken.,-1.2462200897628632
"In particular, chimeric hemoglobins found in fungi and giant annelids may contain both globin and other types of proteins.",Insbesondere können chimische Hämoglobine in Pilzen und Riesenanneliden sowohl Globin als auch andere Proteinarten enthalten.,-0.4550203082084612
The Ottomans invaded Wallachia to restore Basarab Laiotă.,"Die Osmanen drangen in die Walachei ein, um Basarab Laiotă wiederherzustellen.",0.5446305330123273
Riefenstahl's cinematic framing of the flags encapsulated its iconography.,Riefenstahl filmische Rahmung der Flaggen gekapselt seine Ikonographie.,0.5193694599775461
"From the southern slope, Persian archers and catapults launched their projectiles.",Vom Südhang aus starteten persische Bogenschützen und Katapulte ihre Geschosse.,0.3138151754712504
Kublai's armies suppressed the rebellion and strengthened the Yuan garrisons in Mongolia and the Ili River basin.,Kublais Armeen unterdrückten den Aufstand und stärkten die Yuan-Garnisonen in der Mongolei und im Ili-Flussbecken.,0.11291415563642647
"Saaphyri then calls up Prancer and hands her the check, and Prancer cries and hugs her.","Saaphyri ruft dann Prancer und übergibt ihr den Scheck, und Prancer weint und umarmt sie.",1.3618295604951516
